OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area,Students
1,E06000001,Hartlepool,447160,531474,-1.27018,54.67614,70995.72293,93717029.91,680
2,E06000002,Middlesbrough,451141,516887,-1.21099,54.54467,44481.44138,53881562.63,760
3,E06000003,Redcar and Cleveland,464361,519597,-1.00608,54.56752,96704.03153,245069509.4,1085
4,E06000004,Stockton-on-Tees,444940,518183,-1.30664,54.556911,123408.7881,204932952.7,1395
5,E06000005,Darlington,428029,515648,-1.56835,54.535339,107203.1523,197477768.1,755
6,E06000006,Halton,354246,382146,-2.68853,53.33424,77770.9338,79084032.62,820
7,E06000007,Warrington,362744,388456,-2.5616701,53.391628,114690.6868,180627982.9,1660
8,E06000008,Blackburn with Darwen,369490,422806,-2.4635999,53.700802,65284.95232,137022079.4,1305
9,E06000009,Blackpool,332819,436635,-3.0219901,53.82164,34483.47997,34870886.45,870
10,E06000010,"Kingston upon Hull, City of",511894,431650,-0.30382001,53.769199,64681.10408,71583611.12,1110
11,E06000011,East Riding of Yorkshire,488056,443597,-0.66194999,53.881119,504081.6392,2404771587,2395
12,E06000012,North East Lincolnshire,523465,404564,-0.13911,53.52327,93248.48652,192622955.9,970
13,E06000013,North Lincolnshire,497800,410993,-0.52407002,53.58643,244547.8375,846540130.4,1200
14,E06000014,York,460864,452589,-1.07375,53.96582,101947.3877,271931825.2,1140
15,E06000015,Derby,435609,335375,-1.47189,52.914639,50037.52735,78031123.67,1410
16,E06000016,Leicester,458946,304594,-1.1303999,52.635921,51931.70734,73342071.7,2185
17,E06000017,Rutland,492992,308655,-0.62629998,52.667648,125884.932,393748906.9,310
18,E06000018,Nottingham,456082,339969,-1.16667,52.954189,58724.03277,74613555.34,1185
19,E06000019,"Herefordshire, County of",349434,242834,-2.73931,52.081539,349889.26,2179709443,1195
20,E06000020,Telford and Wrekin,367035,313057,-2.4894099,52.714169,118779.6568,290313543.5,1265
21,E06000021,Stoke-on-Trent,389438,346652,-2.15888,53.017071,63974.45065,93448482.21,1240
22,E06000022,Bath and North East Somerset,366217,161999,-2.4865401,51.356041,141684.5697,351123212.5,1330
23,E06000023,"Bristol, City of",359990,174846,-2.57742,51.471149,108825.7019,109666791.5,1585
24,E06000024,North Somerset,347614,166718,-2.75438,51.39706,154770.1712,374637225.9,1540
25,E06000025,South Gloucestershire,367559,183198,-2.4692199,51.54673,142552.7568,497050934.3,1810
