gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,some college,free/reduced,completed,71,85,83
male,group B,some high school,standard,none,41,40,34
male,group C,high school,standard,none,66,52,54
female,group E,master's degree,standard,completed,67,76,79
male,group D,some high school,standard,none,62,57,52
male,group C,high school,free/reduced,none,60,65,61
male,group B,high school,free/reduced,completed,56,62,48
male,group C,associate's degree,standard,none,48,45,42
male,group D,associate's degree,free/reduced,completed,69,61,67
male,group C,some high school,free/reduced,none,48,45,45
male,group D,some college,free/reduced,none,71,62,62
male,group C,high school,free/reduced,completed,66,59,58
male,group C,some college,standard,none,62,56,56
female,group B,high school,free/reduced,completed,67,83,76
male,group B,some college,standard,completed,62,60,65
female,group B,bachelor's degree,free/reduced,none,55,69,69
male,group B,high school,standard,none,60,45,48
male,group B,bachelor's degree,free/reduced,completed,56,57,55
male,group C,high school,free/reduced,completed,71,72,65
female,group B,associate's degree,free/reduced,completed,66,80,85
female,group C,bachelor's degree,free/reduced,none,72,84,87
male,group C,high school,standard,none,76,69,63
female,group D,associate's degree,standard,none,70,81,83
male,group C,high school,free/reduced,completed,67,66,66
female,group D,some high school,standard,none,50,61,61
male,group B,high school,free/reduced,none,52,57,46
male,group A,some high school,standard,none,54,50,45
female,group D,some college,free/reduced,completed,76,87,90
male,group B,some high school,standard,none,45,35,29
female,group D,some college,standard,completed,76,87,90
female,group D,some college,standard,none,58,62,61
female,group B,high school,standard,none,85,88,88
female,group D,associate's degree,free/reduced,completed,73,87,92
male,group D,bachelor's degree,standard,none,70,75,74
male,group A,some high school,standard,none,57,62,58
female,group B,high school,free/reduced,none,62,72,68
male,group C,bachelor's degree,free/reduced,none,76,80,75
female,group C,some college,free/reduced,completed,47,51,56
female,group A,high school,standard,none,49,51,52
female,group B,some college,free/reduced,none,56,71,69
male,group B,bachelor's degree,standard,none,67,64,64
female,group E,high school,standard,none,53,65,61
female,group C,associate's degree,standard,none,51,53,53
male,group B,some high school,free/reduced,none,66,61,57
female,group E,associate's degree,free/reduced,none,68,79,76
male,group C,high school,free/reduced,none,58,60,53
male,group B,some college,standard,none,71,71,64
male,group B,high school,standard,completed,67,75,65
male,group D,some college,standard,completed,69,67,78
male,group E,associate's degree,standard,none,96,84,84
female,group E,associate's degree,free/reduced,none,77,83,83
female,group B,some college,standard,none,89,100,92
female,group E,associate's degree,standard,none,77,85,78
female,group C,high school,standard,completed,81,90,85
female,group B,associate's degree,standard,none,57,70,69
female,group C,some college,standard,none,56,58,61
female,group C,bachelor's degree,free/reduced,none,48,56,58
male,group B,bachelor's degree,standard,completed,72,72,73
male,group A,master's degree,standard,none,74,73,70
male,group C,some college,free/reduced,none,66,71,67
male,group E,high school,standard,completed,100,97,96
female,group E,some college,standard,completed,83,80,85
male,group C,some high school,free/reduced,none,29,24,20
male,group D,master's degree,free/reduced,none,66,62,57
male,group E,high school,free/reduced,none,55,54,52
male,group D,bachelor's degree,standard,completed,74,72,77
male,group D,associate's degree,free/reduced,none,55,68,63
male,group C,some high school,standard,none,57,57,51
male,group C,high school,standard,completed,76,76,71
female,group D,associate's degree,standard,none,69,81,84
female,group B,bachelor's degree,free/reduced,none,78,84,88
male,group E,some high school,standard,completed,66,61,59
female,group C,bachelor's degree,standard,none,64,66,72
female,group C,master's degree,standard,none,65,76,78
male,group C,some high school,standard,none,64,60,57
female,group B,associate's degree,free/reduced,completed,51,68,66
female,group B,some college,standard,none,59,76,68
male,group C,some high school,standard,completed,78,70,70
male,group B,associate's degree,free/reduced,completed,77,82,89
female,group C,some college,standard,none,75,86,82
female,group C,some college,standard,none,47,59,67
male,group A,some college,standard,completed,78,79,77
female,group D,some college,standard,none,70,76,83
male,group D,bachelor's degree,standard,completed,100,93,100
male,group E,associate's degree,standard,completed,90,85,86
male,group A,some college,standard,none,72,74,68
male,group D,high school,standard,none,88,75,80
female,group E,some high school,free/reduced,none,52,58,55
